label,file_names,ordre,espece,autres_especes_nb,autres_especes_annotees,chunk_initial_time,chunk_final_time,recording_chunk_id
Acrocephalus arundinaceus,Aves_AnNA_Asm00DE_26V2017_066_split_70_75.wav,Aves,Acrocephalus arundinaceus,0,,70,75,121
Acrocephalus arundinaceus,Aves_AnNA_Asm00DE_26V2017_066_split_80_85.wav,Aves,Acrocephalus arundinaceus,0,,80,85,123
Acrocephalus arundinaceus,Aves_AnNA_Asm00DE_26V2017_066_split_115_120.wav,Aves,Acrocephalus arundinaceus,0,,115,120,130
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_03V2018_074_split_50_55.wav,Aves,Acrocephalus arundinaceus,0,,50,55,143
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_03V2018_074_split_70_75.wav,Aves,Acrocephalus arundinaceus,0,,70,75,147
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_0_5.wav,Aves,Acrocephalus arundinaceus,0,,0,5,151
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_20_25.wav,Aves,Acrocephalus arundinaceus,0,,20,25,155
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_25_30.wav,Aves,Acrocephalus arundinaceus,0,,25,30,156
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_35_40.wav,Aves,Acrocephalus arundinaceus,0,,35,40,158
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_40_45.wav,Aves,Acrocephalus arundinaceus,0,,40,45,159
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_45_50.wav,Aves,Acrocephalus arundinaceus,0,,45,50,160
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_55_60.wav,Aves,Acrocephalus arundinaceus,0,,55,60,162
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_75_80.wav,Aves,Acrocephalus arundinaceus,0,,75,80,166
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_90_95.wav,Aves,Acrocephalus arundinaceus,0,,90,95,169
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_95_100.wav,Aves,Acrocephalus arundinaceus,0,,95,100,170
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_071_split_100_105.wav,Aves,Acrocephalus arundinaceus,0,,100,105,171
Acrocephalus arundinaceus,Aves_BeSa_Sc-r00DE_18VI2018_072_split_0_5.wav,Aves,Acrocephalus arundinaceus,0,,0,5,174
